Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Lil Jessie,Avatar: The Last Airbender: Book 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:45,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1024,""mediaOffsetMs"":0}]"
Lil Jessie,Plot Clip: Black Clover: Sword of the Wizard King,FireTV 4K Stick 2018,2023-06-21 05:40:43,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1489,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2137,""mediaOffsetMs"":632},{""eventType"":""stopped"",""sessionOffsetMs"":3679,""mediaOffsetMs"":632}]"
Lil Jessie,The Batman: Season 1_hook_02_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:42,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1309,""mediaOffsetMs"":0}]"
Lil Jessie,Season 1 Sensory Clip: Our Planet II,FireTV 4K Stick 2018,2023-06-21 05:40:40,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1171,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2527,""mediaOffsetMs"":1037},{""eventType"":""stopped"",""sessionOffsetMs"":4107,""mediaOffsetMs"":1037}]"
Lil Jessie,The Batman: Season 1_hook_02_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:29,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1570,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":11041,""mediaOffsetMs"":9240},{""eventType"":""stopped"",""sessionOffsetMs"":12541,""mediaOffsetMs"":9240}]"
Lil Jessie,Limited Series Cliffhanger Clip: Arnold,FireTV 4K Stick 2018,2023-06-21 05:40:28,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1504,""mediaOffsetMs"":0}]"
Lil Jessie,Season 1 Sensory Clip: Our Planet II,FireTV 4K Stick 2018,2023-06-21 05:40:28,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1183,""mediaOffsetMs"":0}]"
Lil Jessie,Character Intro Clip: Take Care of Maya,FireTV 4K Stick 2018,2023-06-21 05:40:26,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":74},{""eventType"":""stopped"",""sessionOffsetMs"":1659,""mediaOffsetMs"":74}]"
Lil Jessie,Season 1: Plot Clip: MAID,FireTV 4K Stick 2018,2023-06-21 05:40:22,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1525,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1735,""mediaOffsetMs"":26},{""eventType"":""stopped"",""sessionOffsetMs"":3103,""mediaOffsetMs"":172}]"
Lil Jessie,Season 1 Hook Clip 1: Sweet Tooth,FireTV 4K Stick 2018,2023-06-21 05:40:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":96},{""eventType"":""stopped"",""sessionOffsetMs"":1739,""mediaOffsetMs"":96}]"
Lil Jessie,Naruto: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1388,""mediaOffsetMs"":0}]"
Lil Jessie,Inciting Incident Clip: Colin in Black & White,FireTV 4K Stick 2018,2023-06-21 05:40:14,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1492,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5173,""mediaOffsetMs"":3523},{""eventType"":""stopped"",""sessionOffsetMs"":7010,""mediaOffsetMs"":3523}]"
Lil Jessie,The Disastrous Life of Saiki K.: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1849,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5481,""mediaOffsetMs"":3258},{""eventType"":""stopped"",""sessionOffsetMs"":7045,""mediaOffsetMs"":3258}]"
Lil Jessie,Season 1 Character Intro Clip: Queens,FireTV 4K Stick 2018,2023-06-21 05:40:04,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1490,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4371,""mediaOffsetMs"":2615},{""eventType"":""stopped"",""sessionOffsetMs"":6313,""mediaOffsetMs"":2615}]"
Lil Jessie,Teenage Mutant Ninja Turtles: Season 1_hook_04_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:01,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1615,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3523,""mediaOffsetMs"":1644},{""eventType"":""stopped"",""sessionOffsetMs"":5048,""mediaOffsetMs"":1644}]"
Lil Jessie,The Good Place: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:39:59,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1528,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1904,""mediaOffsetMs"":87},{""eventType"":""stopped"",""sessionOffsetMs"":3464,""mediaOffsetMs"":87}]"
